Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,95.054359,96.161613,90.784943,95.054359,95.054359,525715
2015-09-21,92.760048,94.565575,91.582962,92.760048,92.760048,343019
2015-09-22,91.473236,92.760048,89.787415,91.473236,91.473236,363428
2015-09-23,91.173981,94.485771,89.996895,91.173981,91.173981,347759
2015-09-24,87.732513,91.762520,84.819733,87.732513,87.732513,432449
2015-09-25,88.181396,89.168953,85.797310,88.181396,88.181396,258269
2015-09-29,88.181396,88.181396,88.181396,88.181396,88.181396,0
2015-09-30,87.782387,90.156502,84.819733,87.782387,87.782387,365584
2015-10-01,88.051720,89.777443,87.612808,88.051720,88.051720,247936
2015-10-02,88.051720,89.727562,87.283623,88.051720,88.051720,196235
2015-10-05,86.814789,88.620308,85.807281,86.814789,86.814789,218821
2015-10-06,85.478096,87.383377,85.009262,85.478096,85.478096,191473
2015-10-07,84.690056,85.388321,84.101509,84.690056,84.690056,212570
2015-10-08,82.595245,84.899536,82.026657,82.595245,82.595245,279667
2015-10-12,84.091537,84.789803,82.784775,84.091537,84.091537,100026
2015-10-13,84.131439,84.390793,83.792274,84.131439,84.131439,87523
2015-10-14,83.981812,84.081558,83.502998,83.981812,83.981812,93449
2015-10-15,83.493019,84.081558,83.094009,83.493019,83.493019,87755
2015-10-16,93.268784,94.745125,83.692528,93.268784,93.268784,586885
2015-10-19,93.109184,96.251389,91.503166,93.109184,93.109184,408180
2015-10-20,91.852295,94.076782,90.505638,91.852295,91.852295,259984
2015-10-21,90.774971,92.789970,88.091621,90.774971,90.774971,270248
2015-10-22,91.273735,91.762520,89.777443,91.273735,91.273735,124989
2015-10-23,92.061775,94.256340,90.794922,92.061775,92.061775,162071
2015-10-26,92.760048,94.765076,91.772491,92.760048,92.760048,134380
2015-10-27,91.912148,93.139107,91.483215,91.912148,91.912148,63758
2015-10-28,92.750069,94.066811,91.672745,92.750069,92.750069,216140
2015-10-29,91.154030,93.258812,90.774971,91.154030,91.154030,82670
2015-10-30,90.545540,91.273735,89.488159,90.545540,90.545540,101090
2015-11-02,90.964500,91.253784,89.278679,90.964500,90.964500,76705
2015-11-03,91.862274,92.400940,90.974472,91.862274,91.862274,91472
2015-11-04,90.615364,92.061775,89.777443,90.615364,90.615364,181945
2015-11-05,90.266228,90.774971,89.597885,90.266228,90.266228,197017
2015-11-06,90.764992,91.263756,88.799866,90.764992,90.764992,177302
2015-11-09,88.081642,91.263756,86.495575,88.081642,88.081642,357688
2015-11-10,88.061691,88.380905,85.787331,88.061691,88.061691,132715
2015-11-11,87.183868,89.268700,86.695084,87.183868,87.183868,198663
2015-11-12,88.151474,88.779915,87.283623,88.151474,88.151474,126011
2015-11-13,88.281151,90.445786,87.842239,88.281151,88.281151,265286
2015-11-16,88.480659,88.680161,85.787331,88.480659,88.480659,205254
2015-11-17,90.116600,92.161530,88.680161,90.116600,90.116600,607057
2015-11-18,93.109184,94.415939,90.575462,93.109184,93.109184,839908
2015-11-19,100.949745,105.239113,93.767548,100.949745,100.949745,1932739
2015-11-20,101.747765,104.730370,98.755188,101.747765,101.747765,822469
2015-11-23,110.725510,113.718094,101.747765,110.725510,110.725510,1647029
2015-11-24,113.877701,118.196991,109.229218,113.877701,113.877701,1367152
2015-11-25,118.206963,118.506226,111.832764,118.206963,118.206963,1026378
2015-11-26,133.169876,134.666168,118.705727,133.169876,133.169876,1945984
2015-11-27,131.174820,137.658737,128.681000,131.174820,131.174820,1364662
2015-11-30,146.835999,147.624039,127.952805,146.835999,146.835999,2215025
2015-12-01,176.552322,179.554886,146.147705,176.552322,176.552322,3566359
2015-12-02,176.552322,199.096436,167.584564,176.552322,176.552322,4437793
2015-12-03,174.876480,183.544998,164.971039,174.876480,174.876480,2116206
2015-12-04,180.532455,183.754471,167.594528,180.532455,180.532455,1490007
2015-12-07,190.727188,191.525208,182.547470,190.727188,190.727188,2293744
2015-12-08,185.510117,191.525208,181.260651,185.510117,185.510117,1242431
2015-12-09,174.567245,188.103683,171.026031,174.567245,174.567245,1528374
2015-12-10,173.559738,173.569717,163.594452,173.559738,173.559738,1489556
2015-12-11,161.200378,174.597168,158.626770,161.200378,161.200378,963646
2015-12-14,157.399811,163.893707,152.242584,157.399811,157.399811,953532
2015-12-15,166.088272,167.075821,156.611755,166.088272,166.088272,711734
2015-12-16,170.128250,176.133362,167.883820,170.128250,170.128250,817963
2015-12-17,186.028839,186.537567,171.574661,186.028839,186.028839,2044188
2015-12-18,183.515060,194.248459,181.101044,183.515060,183.515060,1176908
2015-12-21,180.941452,183.544998,177.968811,180.941452,180.941452,929632
2015-12-22,181.929001,183.116058,180.532455,181.929001,181.929001,525316
2015-12-23,180.951416,186.038803,179.066101,180.951416,180.951416,744979
2015-12-24,177.360321,182.547470,175.574753,177.360321,177.360321,580416
2015-12-25,186.617371,187.525131,177.559830,186.617371,186.617371,1355539
2015-12-28,186.946564,192.512756,186.946564,186.946564,186.946564,2068281
2015-12-29,185.340546,190.218445,181.958923,185.340546,185.340546,859183
2015-12-30,189.520172,190.028915,184.542526,189.520172,189.520172,837654
2015-12-31,188.422897,192.213501,183.544998,188.422897,188.422897,757498
2016-01-04,178.547379,188.432877,177.569809,178.547379,178.547379,1397499
2016-01-05,178.198242,178.906494,172.093384,178.198242,178.198242,904959
2016-01-06,174.567245,179.664612,173.819107,174.567245,174.567245,603891
2016-01-07,168.292801,176.063538,164.901215,168.292801,168.292801,1111292
2016-01-08,173.958755,173.958755,165.589508,173.958755,173.958755,791177
2016-01-11,171.265427,175.724380,167.315231,171.265427,171.265427,467127
2016-01-12,164.492218,173.160736,160.611847,164.492218,164.492218,827736
2016-01-13,166.876312,168.771622,164.591980,166.876312,166.876312,393638
2016-01-14,166.736664,167.584564,160.601868,166.736664,166.736664,623798
2016-01-15,168.681839,169.878876,167.295273,168.681839,168.681839,455911
2016-01-18,173.170715,174.557266,164.591980,173.170715,173.170715,678142
2016-01-19,172.771698,175.235596,171.085876,172.771698,172.771698,317606
2016-01-20,165.380020,173.559738,164.591980,165.380020,165.380020,585092
2016-01-21,164.591980,168.681839,164.003433,164.591980,164.591980,401779
2016-01-22,163.444824,167.584564,161.599396,163.444824,163.444824,548551
2016-01-25,163.714157,166.178040,162.966003,163.714157,163.714157,258514
2016-01-26,161.978455,163.634354,160.611847,161.978455,161.978455,363609
2016-01-27,162.098160,163.594452,160.980927,162.098160,162.098160,251304
2016-01-28,161.150513,162.098160,160.452240,161.150513,161.150513,215187
2016-01-29,167.584564,168.173096,161.270218,167.584564,167.584564,553532
2016-01-30,null,null,null,null,null,null
2016-02-01,169.500000,177.580002,169.000000,169.500000,169.500000,701032
2016-02-02,172.000000,172.000000,168.000000,172.000000,172.000000,532070
2016-02-03,174.500000,174.500000,168.990005,174.500000,174.500000,1440650
2016-02-15,172.220001,174.000000,170.000000,172.220001,172.220001,618524
2016-02-16,172.570007,173.389999,171.699997,172.570007,172.570007,360610
2016-02-17,179.000000,183.600006,172.009995,179.000000,179.000000,1060327
2016-02-18,177.699997,179.990005,176.429993,177.699997,177.699997,656503
2016-02-19,175.600006,178.990005,174.899994,175.600006,175.600006,363753
2016-02-22,157.490005,173.000000,154.009995,157.490005,157.490005,1975451
2016-02-23,167.600006,170.399994,156.899994,167.600006,167.600006,873012
2016-02-24,167.759995,169.500000,166.000000,167.759995,167.759995,473798
2016-02-25,164.000000,169.559998,161.399994,164.000000,164.000000,482930
2016-02-26,165.289993,166.690002,161.990005,165.289993,165.289993,411768
2016-03-01,164.600006,167.000000,163.300003,164.600006,164.600006,249651
2016-03-02,164.199997,166.520004,163.520004,164.199997,164.199997,457707
2016-03-03,164.410004,165.669998,163.630005,164.410004,164.410004,636580
2016-03-04,164.000000,165.000000,163.110001,164.000000,164.000000,312657
2016-03-07,164.610001,165.500000,163.800003,164.610001,164.610001,254174
2016-03-08,163.399994,165.000000,163.300003,163.399994,163.399994,324927
2016-03-09,164.210007,164.500000,163.009995,164.210007,164.210007,298794
2016-03-10,167.279999,173.490005,163.899994,167.279999,167.279999,781824
2016-03-11,165.300003,171.100006,164.520004,165.300003,165.300003,904288
2016-03-14,168.500000,170.520004,167.020004,168.500000,168.500000,598787
2016-03-15,170.000000,172.000000,169.000000,170.000000,170.000000,689427
2016-03-16,180.100006,180.600006,170.520004,180.100006,180.100006,1166141
2016-03-17,182.539993,185.000000,176.449997,182.539993,182.539993,1160582
2016-03-18,175.000000,185.000000,173.000000,175.000000,175.000000,1112721
2016-03-21,175.000000,181.000000,174.449997,175.000000,175.000000,513870
2016-03-22,172.000000,175.000000,170.449997,172.000000,172.000000,428893
2016-03-23,167.990005,172.529999,166.399994,167.990005,167.990005,450867
2016-03-24,165.429993,167.000000,161.009995,165.429993,165.429993,594581
2016-03-25,167.479996,168.589996,165.000000,167.479996,167.479996,481891
2016-03-28,170.350006,171.990005,167.000000,170.350006,170.350006,396776
2016-03-29,168.600006,175.550003,167.520004,168.600006,168.600006,654178
2016-03-30,170.300003,171.600006,168.500000,170.300003,170.300003,313328
2016-03-31,172.979996,174.500000,170.940002,172.979996,172.979996,349168
2016-04-01,170.229996,174.000000,169.410004,170.229996,170.229996,283418
2016-04-06,169.190002,170.600006,168.500000,169.190002,169.190002,176615
2016-04-07,169.000000,171.000000,168.259995,169.000000,169.000000,129889
2016-04-08,171.850006,171.910004,168.190002,171.850006,171.850006,231746
2016-04-11,176.500000,180.600006,172.479996,176.500000,176.500000,1033326
2016-04-12,173.520004,177.490005,171.809998,173.520004,173.520004,325658
2016-04-13,174.880005,175.000000,171.710007,174.880005,174.880005,220290
2016-04-14,174.559998,176.699997,174.009995,174.559998,174.559998,239903
2016-04-15,175.000000,175.559998,173.880005,175.000000,175.000000,144850
2016-04-18,173.000000,175.000000,172.500000,173.000000,173.000000,183020
2016-04-19,171.320007,174.410004,171.000000,171.320007,171.320007,330510
2016-04-20,169.500000,172.000000,168.520004,169.500000,169.500000,304655
2016-04-21,167.399994,169.000000,164.399994,167.399994,167.399994,544930
2016-04-22,166.000000,172.020004,165.600006,166.000000,166.000000,496530
2016-04-25,165.309998,167.000000,162.500000,165.309998,165.309998,380141
2016-04-26,166.600006,169.039993,164.500000,166.600006,166.600006,243055
2016-04-27,165.199997,167.529999,164.470001,165.199997,165.199997,211267
2016-04-28,165.289993,167.020004,164.479996,165.289993,165.289993,160873
2016-04-29,164.589996,165.910004,163.500000,164.589996,164.589996,236178
2016-05-03,164.000000,165.000000,162.800003,164.000000,164.000000,211178
2016-05-04,162.979996,165.000000,162.710007,162.979996,162.979996,136283
2016-05-05,165.020004,165.490005,162.699997,165.020004,165.020004,243199
2016-05-06,164.500000,165.699997,162.800003,164.500000,164.500000,299256
2016-05-09,165.110001,166.110001,164.500000,165.110001,165.110001,154198
2016-05-10,163.800003,165.410004,163.699997,163.800003,163.800003,140186
2016-05-11,163.979996,164.490005,163.009995,163.979996,163.979996,137978
2016-05-12,162.509995,164.399994,162.210007,162.509995,162.509995,266172
2016-05-13,161.199997,163.479996,159.000000,161.199997,161.199997,360511
2016-05-16,164.000000,165.100006,159.479996,164.000000,164.000000,359503
2016-05-17,165.929993,166.600006,164.000000,165.929993,165.929993,296981
2016-05-18,163.910004,165.800003,163.710007,163.910004,163.910004,113132
2016-05-19,162.800003,166.550003,162.800003,162.800003,162.800003,205496
2016-05-20,164.369995,164.589996,162.509995,164.369995,164.369995,128173
2016-05-23,170.389999,171.990005,163.899994,170.389999,170.389999,492924
2016-05-24,172.669998,175.570007,169.460007,172.669998,172.669998,403448
2016-05-25,177.600006,183.149994,175.000000,177.600006,177.600006,886766
2016-05-26,172.000000,180.100006,170.000000,172.000000,172.000000,731033
2016-05-27,173.000000,174.000000,171.000000,173.000000,173.000000,232624
2016-05-30,177.690002,178.940002,173.500000,177.690002,177.690002,715162
2016-05-31,179.100006,182.500000,177.600006,179.100006,179.100006,853969
2016-06-01,180.509995,182.000000,178.000000,180.509995,180.509995,728236
2016-06-02,188.000000,189.350006,180.000000,188.000000,188.000000,2388653
2016-06-03,194.500000,196.699997,183.679993,194.500000,194.500000,2262291
2016-06-04,null,null,null,null,null,null
2016-06-06,190.600006,196.000000,188.110001,190.600006,190.600006,1321064
2016-06-07,190.600006,190.600006,190.600006,190.600006,190.600006,0
2016-06-08,201.990005,201.990005,192.410004,201.990005,201.990005,2092640
2016-06-13,206.600006,206.669998,199.000000,206.600006,206.600006,1662738
2016-06-14,211.100006,211.289993,205.000000,211.100006,211.100006,1410539
2016-06-15,225.669998,226.000000,210.399994,225.669998,225.669998,2430499
2016-06-16,218.160004,233.399994,216.009995,218.160004,218.160004,3559567
